colors,R,G,B,color_mapped
#FFDB58,255,219,88,코랄
#F6ADC6,246,173,198,핑크
#317873,49,120,115,차콜
#FFDEAD,255,222,173,베이지
#000080,0,0,128,네이비
#1974D2,25,116,210,블루
#FADA5E,250,218,94,코랄
#4666FF,70,102,255,블루
#39FF14,57,255,20,올리브
#A4DDED,164,221,237,스카이블루
#D7837F,215,131,127,코랄
#E9FFDB,233,255,219,아이보리
#727472,114,116,114,그레이
#4F42B5,79,66,181,블루
#CC7722,204,119,34,카멜
#48BF91,72,191,145,터쿼이즈
#CFB53B,207,181,59,카멜
#43302E,67,48,46,차콜
#FDF5E6,253,245,230,아이보리
#848482,132,132,130,그레이
#C08081,192,128,129,모카
#796878,121,104,120,그레이
#808000,128,128,0,올리브
#673147,103,49,71,차콜
#6B8E23,107,142,35,올리브
#B5B35C,181,179,92,카멜
#9AB973,154,185,115,민트
#FF7538,255,117,56,오렌지
#3C341F,60,52,31,카키
#353839,53,56,57,차콜
#A8C3BC,168,195,188,라이트 그레이
#B784A7,183,132,167,라벤더
#FF7F00,255,127,0,오렌지
#FF681F,255,104,31,오렌지
#FF9F00,255,159,0,머스타드
#FFA500,255,165,0,머스타드
#FF5349,255,83,73,오렌지
#FF5800,255,88,0,오렌지
#F5BD1F,245,189,31,머스타드
#F2BDCD,242,189,205,핑크
#F8D568,248,213,104,코랄
#FA5B3D,250,91,61,오렌지
#DA70D6,218,112,214,라벤더
#002147,0,33,71,딥그린
#FF6E4A,255,110,74,오렌지
#2D383A,45,56,58,차콜
#E29CD2,226,156,210,핑크
#800020,128,0,32,버건디
#BCD4E6,188,212,230,라이트 그레이
#1CA9C9,28,169,201,터쿼이즈
#006600,0,102,0,그린
#841617,132,22,23,버건디
#682860,104,40,96,차콜
#ECEBBD,236,235,189,베이지
#FADADD,250,218,221,베이지
#C9C0BB,201,192,187,라이트 그레이
#FAE6FA,250,230,250,화이트
#9BC4E2,155,196,226,스카이블루
#009B7D,0,155,125,블루
#78184A,120,24,74,버건디
#E63E62,230,62,98,레드
#50C878,80,200,120,민트
#FFEFD5,255,239,213,아이보리
#DEA5A4,222,165,164,모카
#FFE5B4,255,229,180,베이지
#536878,83,104,120,그레이
#800080,128,0,128,퍼플
#FFCBA4,255,203,164,핑크
#FFDAB9,255,218,185,베이지
#D1E231,209,226,49,라임
#B768A2,183,104,162,라벤더
#CCCCFF,204,204,255,라이트 그레이
#C3CDE6,195,205,230,라이트 그레이
#E12C2C,225,44,44,레드
#00A693,0,166,147,터쿼이즈
#D99058,217,144,88,카멜
#32127A,50,18,122,네이비
#1C39BB,28,57,187,블루
#01796F,1,121,111,블루
#701C1C,112,28,28,버건디
#FE28A2,254,40,162,마젠타
#CC3333,204,51,51,레드
#8BA8B7,139,168,183,라벤더
#F77FBE,247,127,190,핑크
#DF00FF,223,0,255,바이올렛
#EC5800,236,88,0,오렌지
#123524,18,53,36,딥그린
#2E2787,46,39,135,네이비
#FFC0CB,255,192,203,핑크
#000F89,0,15,137,네이비
#C30B4E,195,11,78,마젠타
#FDDDE6,253,221,230,아이보리
#2A2F23,42,47,35,딥그린
#D74894,215,72,148,마젠타
#93C572,147,197,114,민트
#003153,0,49,83,딥그린
#F78FA7,247,143,167,코랄
#FC74FD,252,116,253,핑크
#B0E0E6,176,224,230,스카이블루
#D8B2D1,216,178,209,라이트 그레이
#FFDDF4,255,221,244,화이트
#E5E4E2,229,228,226,아이보리
#8E4585,142,69,133,그레이
#5DA493,93,164,147,그레이
#5946B2,89,70,178,바이올렛
#701C1C,112,28,28,버건디
#FF5A36,255,90,54,오렌지
#DDA0DD,221,160,221,핑크
#DF00FF,223,0,255,바이올렛
