colors,R,G,B
#BFD3E6,191,211,230
#BFE5EA,191,229,234
#C0362C,192,54,44
#C06600,192,102,0
#C0722F,192,114,47
#C084DC,192,132,220
#C09477,192,148,119
#C0A6BD,192,166,189
#C0CFCB,192,207,203
#C0D4CD,192,212,205
#C10435,193,4,53
#C1BED1,193,190,209
#C1C49A,193,196,154
#C1E2DE,193,226,222
#C2510F,194,81,15
#C2CDE0,194,205,224
#C30C3E,195,12,62
#C38E63,195,142,99
#C3C8CD,195,200,205
#C40098,196,0,152
#C41E99,196,30,153
#C4B300,196,179,0
#C4CBEA,196,203,234
#C5AAA0,197,170,160
#C5BA8E,197,186,142
#C5BBD3,197,187,211
#C5D2E3,197,210,227
#C5D5A9,197,213,169
#C686A9,198,134,169
#C69200,198,146,0
#C6A4E1,198,164,225
#C6B0BE,198,176,190
#C6DB00,198,219,0
#C70BAC,199,11,172
#C79DD8,199,157,216
#C7C397,199,195,151
#C88691,200,134,145
#C8A99A,200,169,154
#C8BAC0,200,186,192
#C8C5AC,200,197,172
#C8C9C3,200,201,195
#C8DB00,200,219,0
#C8E2E8,200,226,232
#C90081,201,0,129
#C9C37F,201,195,127
#CA4E00,202,78,0
#CA65D1,202,101,209
#CA909C,202,144,156
#CAAD00,202,173,0
#CAB388,202,179,136
#CAC4C2,202,196,194
#CB0447,203,4,71
#CB97B7,203,151,183
#CBA4D4,203,164,212
#CBB2D5,203,178,213
#CBD1D4,203,209,212
#CBD34C,203,211,76
#CCCCCC,204,204,204
#CCD4D4,204,212,212
#CCD6E0,204,214,224
#CCE5A2,204,229,162
#CD5806,205,88,6
#CDC9C4,205,201,196
#CDD3CD,205,211,205
#CDE3E2,205,227,226
#CDE985,205,233,133
#CE62A4,206,98,164
#CE9D00,206,157,0
#CED1B3,206,209,179
#CED2BF,206,210,191
#CED9E7,206,217,231
#CF5200,207,82,0
#CF7600,207,118,0
#CFA5E4,207,165,228
#CFB1E3,207,177,227
#CFDDBB,207,221,187
#CFDEE1,207,222,225
#D00063,208,0,99
#D02433,208,36,51
#D1A9B0,209,169,176
